,Genre,Map Name,Description,Age Rating,Tags
19,Just For Fun,BASKETBALL TYCOON 🏀,BE THE KING OF BASKETBALL 👑BUILD YOUR BASKETBALL ARENA 🏀BUILD YOUR OWN BASKETBALL STORE 👟DECORATE YOUR DREAM HOUSE 🏠COLLECT VEHICLES 🚗CAN YOU FIND THE VAULT CODE AROUND THE CITY? ⚙,Teen / 7,"tycoon, casual, simulator, just for fun, "
20,Just For Fun,Piece Control 2v2 🎯,🥇 Leaderboard📝 Intense Boxfight Piece Control Scenarios🏆 Career Leaderboard/ Arena Points🎯 Best practice in the gameGood for duosGreat 2v2 practice with your duoMade in UEFN / Creative 2.0,Teen / 12,"boxfight, practice, duo, 2v2, "
21,Boxfight,BHE 1V1 BUILD FIGHTS عاركني بالبناء 戦い💎,FFA Build Fights 🏗️1v1 box fights 📦fast action ⏰build reset 💣built in UEFN,Teen / 12,"1v1, practice, boxfight, "
22,Boxfight,PANDVIL Box Fights (2v2) 📦,"🔸🟢Made By PANDVIL🔸(2 vs 2) Box Fight Matchmaking🔸Near 0 wait between rounds🔸Ranks, Cosmetics and much more🔸When eliminated spectate OR parkour🔸LIFETIME WIN & ELIMINATION leaderboards",Teen / 12,"boxfight, practice, duo, 2v2, "
23,Boxfight,Piece Control 1v1 🎯,🔫 BRAND NEW LOADOUTS🏗️ BRAND NEW COURSES🥇 Leaderboard📝 Intense Boxfight Piece Control Scenarios🏆 Career Leaderboard/ Arena Points🎮 Piece control courses built by competitive pro AVFN🎯 Best practice in the game,Teen / 12,"practice, 1v1, boxfight, pvp, "
24,Boxfight,Piece Control 3v3 🎯,🥇 Leaderboard📝 Intense Boxfight Piece Control Scenarios🏆 Career Leaderboard/ Arena Points🎯 Great For Trios,Teen / 12,"boxfight, pvp, practice, competitive, "
25,Boxfight,PANDVIL Box Fights (3v3) 📦,"🔸🟢Made By PANDVIL🔸(4 vs 4) Box Fight Matchmaking🔸Near 0 wait between rounds🔸Ranks, Cosmetics and much more🔸When eliminated spectate OR parkour🔸LIFETIME WIN & ELIMINATION leaderboards",Teen / 12,"boxfight, practice, trios, 3v3, "
27,Boxfight,🧠 Brainrot Boxfights 📦,🧠 Play as a BRAINROT TikTok Meme🦸21 Unique Brainrot Powers⚽️ Speed - One Shot Ronaldo Pickaxe ⛏️🦑 Squidword - Activate ERM WHAT THE SIGMA on players🚨 Among Sus - Vent Underground On Players🆕 Ranked System Just Added!,Teen / 12,"boxfight, practice, memes, pvp, "
28,Boxfight,MEME MINIGAMES PVP 🎯,💪 GIGA CHAD🚃 GNOM👊 ONE PUNCH💨 KNOCKBACK😂 MEME SWITCH🤪 DON POLLO🎯 ONE SHOT🏐 DODGEBALL👯‍♂️ BESTIES❌ HITMARKERAnd much more!,Teen / 12,"boxfight, practice, minigame, party game, "
29,Boxfight,TILTED ZONE WARS (ALL WEAPONS) ⭐,This is the ALL WEAPONS version!,Teen / 12,"zonewars, practice, free for all, pvp, "
30,Boxfight,高性能 1v1 (16 Players),1v1 Build Fight,Teen / 12,"1v1, free for all, practice, "
31,Boxfight,1V1 WITH EVERY GUN,❌ No Waiting for Mythic Weapons👤 16 Player Free-For-All🚁 Fun Vehicles💦 Automatic Reloading on Elimination💾 Loadout & Eliminations Save🆕 Updated Weekly,Teen / 12,"free for all, just for fun, pvp, respawn, "
32,Free For All,🎯SNIPER ONE SHOT 💥BATTLE,💪Have Fun With Sniper Only Arena💪💥All Snipers🏆Custom Rank System🎈Lots of Items🔁Infinite Respawn🤩Endless Fun🎯Train Your Aim❓Secret Quests🚨Become The Best Among 14 Players🚨,Teen / 12,"one shot, free for all, sniper, pvp, "
33,Free For All,Best 1v1 Map,🎯 Make Your Best Kill 🎯👤 Only 2 Player 👤📈 Ranked Mode 📈,Teen / 12,"1v1, building, free for all, battle, "
34,Free For All,😎 GUN GAME 🔫 SUMMER ONE SHOT,🏝️ OG SUMMER THEME 🏝️✨ INFINITE RESPAWNS ✨🎯 ONE SHOT ELIMINATIONS 🎯,Teen / 12,"gun game, just for fun, free for all, respawn, "
35,Free For All,سكرمز< RASF🏆🥇,البقاء للافضل SURVIVAL OF THE BEST,Teen / 12,"zonewars, battle, arena, competitive, "
36,Free For All,PRO ZONE WARS (1V1 TO 4V4),"🏆 1v1, 2v2, 3v3, & 4v4 Zone Wars 🏆🔄 SCORE RESET 🔄🌟 WORKING ATTACHMENT SYSTEM! 🌟",Teen / 12,"zonewars, practice, 1v1, 4v4, "
37,Free For All,GARAGE PVP - سكرمز الكراجات,🎯 20 Players PvP Zonewars🔧 Random Garage Loot🎁 Wheel of Fortune with Super Powers📦 Boxfight Arena⚔️ Build Fight Arena⭐ Mythic BunkerMade in UEFN / Creative 2.0,Teen / 12,"1v1, practice, zonewars, boxfight, "
38,Free For All,ROCKET WARS 3 🚀,🚀 Zone Wars Game🚀 4 Teams Battle🚀 NEW Cosmetics + Elim Animations🚀 New Ranked System + Live Leaderboard,Teen / 12,"practice, pvp, zonewars, "
39,Free For All,🦸 HEROES GO GOATED 🌀,🦸 Random Heroes 🦸🐐 4 Teams Battle 🐐🌀 Classic Zone Wars Game 🌀👥Select Your Team👥,Teen / 12,"practice, pvp, zonewars, "
40,Free For All,Rapid Realistics 2v2 🎯(speed),🌄 25 Realistic Scenarios🕒 No Wait Time Between Rounds🎯 Best practice in the game,Teen / 12,"duo, pvp, practice, zonewars, "
41,Free For All,1V1 MAP INFINITE,FIRST PERSON MODE ( NEW )Always NewUpdated Weapons.Free For AllSmooth Experience,Teen / 12,"1v1, pvp, zonewars, practice, "
42,Free For All,Bed Wars,👥 Teams of Three🛌 Destroy Opponent's Beds🛡️ Protect Your Bed💎 Upgrade Your Base With Diamonds,Teen / 7,"tycoon, base, pvp, trios, "
44,Zonewars,Bed Wars Klombos [PvP BedWars],🔫 Chapter 5 Weapons & Mods!🛏️ Defend Your Klombo (Bed)!💥 Break Rival Klombos!🤝 4v4v4v4 Battle!,Teen / 12,"base, tycoon, pvp, practice, "
46,Zonewars,Bed Wars PVP - حرب الاسرة,👥 Teams of Trios.🛌 Defend and Protect Your Bed.🔥 Break Opponent's Beds to Eliminate Them.💎 Upgrade Your Base With Diamonds.⬆️ Get New Perks.,Teen / 12,"tycoon, base, pvp, practice, "
48,Zonewars,MURDER MYSTERY,👤 Survivors: Survive the Murderer🔪 Murderer: Eliminate all Survivors🔍 Sheriff: Eliminate the Murderer,Teen / 7,"party game, role playing, survival horror, "
49,Zonewars,LYADOLL PARTY ROYALE,"✨HAVE FUN ,CHILL OUT, WITH FRIENDS✨🎵SECRET PLACES, FUN , DANCE🎵👥MAKE NEW FRIENDS👥",Teen / 12,"casual, party world, party game, role playing, "
53,Zonewars,Melaad Party Royale,By NASA,Teen / 12,"party world, party game, role playing, casual, "
55,Tycoon,🌈Color Block - Switch🌈,🌈Enjoy The Color Switch Party🌩️Survive The Longest😀Have Fun,Everyone / 3,"minigame, party game, just for fun, casual, "
56,Tycoon,1v1 Build Fights! [4.6.4],✔ Simplistic 1v1 Map✔ Always Updated✔ Fully AutomaticFind Opponents through matchmaking!,Teen / 12,"1v1, competitive, practice, "
57,Tycoon,高性能 1v1,1v1 Build Fight,Teen / 12,"1v1, practice, "
58,Tycoon,Pandvil 1v1 Simplistic,🔸SIMPLISTIC🔸Build Reset Button🔸Select 185 or 200 HP🔸Matchmaking Enabled,Teen / 12,"1v1, boxfight, practice, solo, "
59,Tycoon,PANDVIL Box Fights (1v1) 📦,"🔸🟢Made By PANDVIL🔸(1 vs 1) Box Fight Matchmaking🔸Near 0 wait between rounds🔸Ranks, Cosmetics and much more🔸When eliminated spectate OR parkour🔸LIFETIME WIN & ELIMINATION leaderboards",Teen / 12,"1v1, boxfight, practice, solo, "
60,Tycoon,Shad's 1v1 Map (200 Pump),"*200, 180, OR 1 HP**New Guns!**Weapon Mod Bench!*✔️Reset Button✔️Skin Changer✔️Updated RegularlyFind People Through Matchmaking!If You Wanted Anything Added To The Map DM Me on Twitter @9shdd",Teen / 7,"1v1, competitive, practice, duo, "
61,Tycoon,🎱SHADOW VS GHOST👻,🥊 Team vs Team Battle🔍 Many Secretes🔥50 Coins Per Elimination,Teen / 12,"team deathmatch, "
62,Tycoon,💯 RЕD VS ВLUЕ 🥶 RUMBLE,🆕 New All Ch5 Weapons Added🔵 ENDLESS TEAM DEATHMATCH COMBAT🔴 POWERUPS AND SECRETS 👀🏆 Rank up from BRONZE to UNREAL📀 50 Gold Coins per Elimination🚽 1st Person Mode🔒 OP Vault💾 Eliminations and Ranks Save,Teen / 12,"team deathmatch, "
63,Tycoon,ماب المعرقين PRO💯,"2-20 players compete, either team of the two teams for first place! in an atmosphere of enthusiasm and suspense in this creative map",Teen / 12,"team deathmatch, action, capture the flag, base, "
65,Party Game,🐺Wolves VS Chickens🐔,🐺 Team Deathmatch 🐔🎯 Killstreaks 🎯🤫 Secrets 🤫🏆 Worldwide Leaderboard 🏆⭐ Mythic Weapons ⭐👨‍🌾 Created by Fhsupport 👨‍🌾,Teen / 12,"team deathmatch, "
66,Party Game,💙PLAYSTATION VS XBOX💚,💙PLAYSTATION VS XBOX💚⭐Rank System Added🏆 Team VS Team🚩 CAPTURE THE FLAG!🔫 Fun Weapons🆕 New Guns🧠 MADE IN CREATIVE 2.0 / UEFN,Teen / 12,"team deathmatch, capture the flag, gun game, building, "
68,Party Game,Winter Rockets VS Cars,😀Fun To Play🔥Earn Gold💾Saves Gold And Eliminations✅Drive Cool Cars🆕 New Rank System,Teen / 12,"just for fun, party game, team deathmatch, race, "
69,Party Game,Phantom Investigation [REIMAGINED],"Welcome to Phantom Investigation:A realistic approach at Ghost Hunting in Fortnite, now made in UEFN.Join up to 3 friends in this intricate game.Use your equipment and investigate the house, you have one singular objective; Identify the Ghost.v1.11",Teen / 12,"horror, casual, adventure, puzzle, "
72,Party Game,Default Parkour 425+,🤯 Over 425 SIMPLE Stages🏃‍♂️ Dash! Glide! Ascend!🕵️‍♀️ Discover Secrets🕒 Challenge Your Speed😳 Will You Reach the FINAL Challenge?Explore 425+ EASY Levels!Can You Uncover Every Secret?Created by Omega Creations,Teen / 7,"parkour, deathrun, difficulty: easy, just for fun, "
76,1v1,NEW WEAPONS GUN GAME DRIVE HERO ONE SHOT,⭐ 20 Player Hero Drive Fun Chapter 5🔫 All Weapons & Items and Vehicles💥 Play with Friends to have more fun💪 Pick any Gun and One Shot players🛠️ Reset Builds and Cars Every 5 Min💾 Eliminations and Loadouts Save🆕 New All Season Weapons Added,Teen / 12,"gun game, open world, free for all, race, "
77,1v1,SLAP FIGHTS 🖐️,👏SLAP ENEMIES🧠MADE IN UEFN / VERSE💾SAVED PROGRESS⭐DAILY REWARDS🏆RANKED SYSTEM📜LEADERBOARD🖐️GAIN COINS TO EQUIP INSANELY POWERFUL GLOVES🎩CUSTOM COSMETICS⚔️SPECIAL POWERS,Everyone 10+ / 7,"minigame, just for fun, party game, fighting, "
78,1v1,🐶 PET HEROES ADVENTURE,"🐾 Open eggs, collect pets and explore the world of Pet Heroes Adventure🥚 Open 30+ Eggs 🥚🐱 Collect 100+ Pets 🐱⭐ Gold & Rainbow Pets ⭐🗺️ Explore 30+ Areas 🗺️💾 SAVE PROGRESS!! 💾",Everyone / 3,"casual, just for fun, tycoon, simulator, "
79,1v1,LEGO Fortnite,"Explore vast, open worlds where the magic of LEGO® building and Fortnite collide. Find the ultimate survival crafting LEGO adventure in Fortnite!",Everyone 10+ / 7,"survival, co-op, open world, sandbox, "
81,1v1,🚔DRIVE CITY - ALL WEAPONS💥,💥Free For All💥🏎️ Driving with Unlimited Boost🏎️🔫 All weapons🔫🏝️Big map with a lot of places to explore🏝️🤐Secret Spots🤐Have fun!,Teen / 12,"open world, race, role playing, just for fun, "
82,1v1,SKYBOX,SANDBOX IN THE SKY! 😃☀️HIT CHEST!UPGRADE EVERYTHING! 💪BUILD A SKYTOWN! 🏙️EXPLORE A MASSIVE WORLD IN THE SKY🌍,Teen / 12,"creatures, open world, tycoon, pve, "
83,1v1,99 BOTS OG BOT ROYALE 🏆,99 Bots🤖All Weapons🔫Greasy Grove🏠Play With Friends😂Mega Reward In 17 Minutes🔑EPIC BOSS FIGHT COMING SOON!Made In UEFN 2.0,Teen / 12,"creatures, boss battle, open world, pve, "
85,1v1,Endless Zone Wars Ranked,🌀 Never-Ending Zone Wars🕐 Instant Respawns & No Wait Time👑 Custom Crowns & Ranked System🚀 Call in the NUKE🏆 Custom Win Screens & Combat Report💾 Rank & Eliminations Save🧠 MADE IN UEFN & WEEKLY UPDATES,Teen / 12,"zonewars, practice, pvp, free for all, "
86,Team Deathmatch,Pet Tycoon Simulator,🐾 Unlock the coolest pets! They will help you in your adventure!💰 Break chests!🥚 Open eggs!🐱 Collect pets!🗺 Explore 20 zones!🔍 Find the Golden Cat!💾 Your game is saved!,Everyone / 3,"tycoon, clicker, simulator, just for fun, "
87,Team Deathmatch,RAFT TYCOON [CO-OP],👥 2 Player CO-OP Raft Tycoon! - *UPDATED PRICES*🌊 You're in the Middle of the Ocean 🌊🚣‍♂️ Start on a Single Pallet 🌴🛠️ Expand and Build your Dream Raft 🛶🔓 Unlock new Farms 🍌🎣 Fish for extra Gold 🐠🔍 Find Easter Eggs! 🥚🚀 Reach the end! 🎉,Everyone / 3,"co-op, tycoon, just for fun, simulator, "
90,Team Deathmatch,🚗CAR CRASH BATTLE🔥,🚗Survive Longest🚗Destroy cars🚗CAR CRASHRequests and bugs / Twitter @SK_1883Please feel free to contact me if you have any inquiries,Teen / 12,"party game, minigame, race, driver simulator, "
92,Team Deathmatch,IMPOSTOR,"Find the IMPOSTOR!In this map at the bottom of the ocean, you have to complete quests and face events to survive!Don't hesitate to follow on TWITTER/X : @impostorfn to follow updates of the map!",Teen / 12,"role playing, horror, party game, minigame, "
93,Team Deathmatch,🌈 RAINBOW HIDE AND SEEK 🌈,WELCOME TO RAINBOW HIDE AND SEEK⭐️New Color Every Round! ⭐️⭐️Made in UEFN / Creative 2.0! ⭐️🔥100+ INSANE Hiding Spots! 🔥😱TELEPORTS! 👀⭐PARTY GAME⭐🌈ADVENTURE🌈🔥MYSTERY🔥,Teen / 12,"just for fun, casual, mystery, action, "
94,Team Deathmatch,SUPER SNIPER ONE SHOT 🎯,🏡 Pleasant Park🔥 Most Fun EVER✅ All Snipers🏆 Rank Up (Bronze -> Unreal)🔁 Instant Respawn📀 5 Coins per Elimination🥇 Complete Achievements for Rewards🆕 Frequent Updates with all the new content!,Teen / 12,"free for all, pvp, sniper, one shot, "
96,Casual,Martoz 1v1 Build Fights📝,1v1 with no terrain 📝,Teen / 12,"1v1, pvp, practice, building, "
100,Casual,SPACE TYCOON 🚀,"💾 FULL Savings Enabled!⭐ Custom Leveling System!🧢 Unlock Different Hats, Backpacks and Drones!❓Can You Find All The Hidden Numbers To The Pincode?👽Explore The Map and Fight Unique Aliens!🛸Unlock The UFO!🔁 Rebirth To Unlock New Rewards!",Teen / 7,"tycoon, simulator, casual, just for fun, "
101,Casual,FORTMEGLE - Talk to strangers RP 📞,"🌍 TALK TO STRANGERS ALL AROUND THE WORLD 🌍📀 COLLECT COINS TO BUY ITEMS, CLOTHES AND POWERS 📀📱 USE THE REMOTE TO SKIP TO ANOTHER PLAYER 📱📦 FIND YOUR DUO IN A 2V2 BOXFIGHT 📦🎥 FIRST PERSON CAMERA 🎥🌟 MADE WITH VERSE/UEFN 🌟",Teen,"role playing, friendly, casual, just for fun, "
102,Casual,XTREME RAMP JUMP 🚀,🛩️ Fly Across the Map!🚗 All Vehicles!⚡ Unlock Speed Levels!✨ Unlock Trails & Cosmetics!🏆 Level up and unlock boosts!🚩 Can you reach the end?,Teen / 12,"race, just for fun, runner, deathrun, "
103,Casual,❔ Fort Who ❓ - Guess Who They Are,❔ Ask Questions❓ Make Your Guess🎤 Mic Not Required👤Choose Character Style🎨 Design Your Board,Everyone / 3,"board game, card game, just for fun, minigame, "
104,Casual,Desert Zone Wars🌵,🔸16 player SOLO free for all Zone Wars🔸Classic Desert Zone Wars environment🔸NEW Season Weapons + Classic Favorites🔸NEW Thunderbolt + Wings,Teen / 12,"practice, zonewars, building, "
105,Casual,🔥CAR TAG🔥,🔥 TRUCKS: Smash the Cars🔥 CARS: Survive Until the Time Runs Out,Teen / 12,"race, parkour, party game, minigame, "
106,PvP,🏠Home Alone - Prop Hunt🎄,👨‍👩‍👧 2-20 players👦 Kevin vs Robbers🕵️❓ Find all secrets on the map🧩🎄 Christmas atmosphere🎄🔴 NEW QUEST SYSTEM,Teen / 12,"prop hunt, party game, just for fun, minigame, "
107,PvP,TR🤣LL Bed Wars 🛏️,"New season items!4 custom trio teamsWood, Stone, Metal & GoldUpgrade your baseBuy security camera's, power-ups & more👨‍🌾 Created by Fhsupport 👨‍🌾",Teen / 12,"base, tycoon, trios, pvp, "
110,PvP,✈️ Airport Driving FFA,"🌎 Free for all !⭐ Explore and find the best weapons in town !✈️ Funny Aircrafts animated : Fighter, big Airliner, Private Jet !🏎️ All vehicules and many weapons !🎁 100% FUN 🎁",Teen / 12,"just for fun, race, minigame, open world, "
111,PvP,👻Ghost VS Shadow🎱,🥊 Team vs Team Battle⭐ Awesome Visual Aesthetic🔍 Many Hidden Items🌈 Gameplay Customization,Teen / 12,"team deathmatch, battle, action, exploration, "
112,PvP,🏠PETER VS GIANT CHICKEN🐔,🏠PETER VS GIANT CHICKEN🐔⭐POWERUPS🆕New Chapter 5 Season 3 weapons🆕✨Mythics and Exotics Added🔥5 Coins per elimination,Teen / 12,"battle, just for fun, team deathmatch, practice, "
113,PvP,REALISTIC DRIVE 🌄,🔥 Creative 2.0🌎 HUGE Open World🛵 ALL Vehicles,Teen / 7,"race, just for fun, open world, free for all, "
115,PvP,🌄 CITY FREE FOR ALL - ALL WEAPONS 🏙️,🔫 FREE FOR ALL 🎮 ALL WEAPONS AND ITEMS 🚗 ALL VEHICLES 🛣️ GIANT MAP ✈️ MANY LOCATIONS TO EXPLORE 🐈,Teen / 12,"free for all, just for fun, open world, race, "
116,PvP,🧟 ZOMBIEDRIVE 🏎️,🧟‍♂️ Endless hordes of Zombies! 🧟‍♂️🚗Run over Zombies in Cars or Tanks!🚗🔫Buy or loot powerful weapons!🔫🏎️LOTS of Vehicles!🏎️,Teen / 12,"creatures, horror, race, free for all, "
118,Just For Fun,Valhalla: Bossfight🐍,NEW MYTHIC DIFFICULTYFight Serpent Boss 🐍 from Norse Mythology! Play solo or with 12 players on 4 different difficulties. Fight zombies🧟‍ to earn gold and unlock better weapons!Created by VerySpicyGames and Bifrost Studios,Teen / 12,"creatures, boss battle, pve, survival, "
120,Just For Fun,ONEBLOCK 100 DAYS,-SURVIVE 100 DAYS ON A SINGLE BLOCK IN THE SKY 🏝️-FACE CHALLENGES AND HIT THE BLOCK TO GET RESOURCES⛏️-👥1-4 Players-DISCOVER NEW AREAS-HAVE FUN⭐,Teen / 12,"survival, casual, crafting, pve, "
121,Just For Fun,ZOMBIE CITY: BOSSFIGHT,🐲 KAIJU BOSS FIGHT🏢 Huge City to Explore🧟 Endless Hordes of Zombies to Farm🔫 All Weapons⭐ Humans vs Infected PVP🤫 Discover all the Secrets!,Teen / 7,"creatures, boss battle, survival, pve, "
122,Just For Fun,🗿 BACKROOMS SURVIVAL - NEXTBOT 😹,👽 24 NEXTBOTS 🐓 CHICKEN ☠️ SURVIVE 🏃‍♀️RUN 🚪7 BACKROOMS 😱 HORROR,Teen / 12,"survival, horror, escape, adventure, "
123,Just For Fun,🧟🧟🧟 ZOMBIES DESERT (CO-OP) ⭐⭐⭐,Have fun by Eliminating Zombies! & More!!,Teen / 12,"creatures, open world, pve, survival, "
124,Just For Fun,The Friday 13th,The survivors must repair the vehicles and escape the island!NEW ISLAND!,Teen / 12,"mystery, horror, survival, survival horror, "
127,Boxfight,MAFIA TYCOON 🔥,👑 Build the best Secret Mafia Base🖤 Become the main Boss in the world🔥 Explore various locations and unlock new ones!🍀 Buy stylish Pets💼 Find all the secrets,Teen / 12,"simulator, tycoon, casual, just for fun, "
128,Boxfight,BUNKER TYCOON [CO-OP],💥 Build Secret Underground Bunker (OVER 10 FLOORS)🧟‍♀️ Go Outside and Eliminated Zombies!🤿 Purchase Masks🎯 Rise up in SURVIVOR LVL's🔫 Upgrade Your Weapons & Masks!🤫 Unlock Secrets💾 Rebirth and Re-Play FOREVER!,Teen / 12,"tycoon, creatures, simulator, just for fun, "
129,Boxfight,CASTLE TYCOON: BOSSFIGHT🐲,👑 Become a KING🏰 Upgrade and Build your CASTLE💎 Get rich selling GEMS🐲 SLAY the DRAGON BOSS🧟 Fight ZOMBIES for BOOSTS🐾 Unlock Cool DRAGON PETS💾 ALL PROGRESS SAVES⬆️ INFINITE REBIRTH PROGRESSION❎ Unlock up to a 10x BOOSTER,Teen / 7,"tycoon, simulator, pve, boss battle, "
130,Boxfight,BUSINESS TYCOON💼,📈Build The Best Business in The World🏢Build your Business Office🏎️Drive Supercars👨‍💼Hire Employees To Work For You🧠MADE IN UEFN,Teen / 12,"tycoon, simulator, just for fun, casual, "
131,Boxfight,PANZER VS ARMORED 🛡,🟣🔴Team vs Team Battle🦸‍♂️ Self - Revive🔫 ALL new Chapter 5 Season 3 Weapons!🔎 Hidden Items🚌 Tanks/ Gun Towers🏆 Rank up to Unreal✅ Custom Scoreboard🏛️ Vault Open Every 5 Minutes🎮Fun if you play with friends!,Teen / 12,"team deathmatch, battle, action, gun fight, "
132,Boxfight,Drive World,🔫 CH5 Weapons🏎️ Drive with Unlimited Boost🏎️🤐Secret Areas🤐Wild animalsBig RewardsHave Fun!,Teen / 12,"open world, race, driver simulator, pvp, "
134,Boxfight,SCRIMS PVP - سكرمز 🏆,🎁 There is a wheel of fortune🥇 Ranked System🔫 You can vote on weapons🏆 16 professional players,Teen / 12,"pvp, zonewars, competitive, 1v1, "
135,Boxfight,😎 GUN GAME 🔫 ONE SHOT 🎯 AIM,🌟 OG SUMMER THEME 🌟👑 INFINITY RESPAWNS 👑🎯 ONE SHOT ELIMINATIONS 🎯😎 FUN🎯 TRAIN YOUR AIM👑 BECOME THE BEST AMONG 12 PLAYERS 👑❓ SECRETS ❓,Teen / 12,"gun game, just for fun, free for all, respawn, "
136,Boxfight,⭐CRAZY PARKOUR 250+⭐,⭐Over 250 Levels⭐✅Difficulty: Crazy✅🔥Try to beat the World Record!🔥,Teen / 7,"deathrun, parkour, minigame, difficulty: easy, "
137,Free For All,OCTO GAME 2.0 문어 게임,[HUGE UPDATE] COSMETICS!!!🚦 GREEN LIGHT RED LIGHT🍪HONEY COMB🔦LIGHTS OUT💪TUG OF WAR🪩MARBLE RUN🔍GLASS BRIDGE🐙OCTO GAME,Teen / 12,"deathrun, escape, minigame, horror, "
139,Free For All,RAPID BOXFIGHTS 2v2 🎯,🏆 BRAND NEW LEADERBOARD🕒 NO WAIT TIME BETWEEN ROUNDS🏃 FAST PACED ACTION📦 CLASSIC BOXFIGHTS,Teen / 12,"boxfight, competitive, pvp, duo, "
140,Free For All,🏆 CHAMPIONS BOX FIGHTS (Ranked),😉 NEW Chapter 5 Weapons🏆 Custom Rank System✔️ Fastest FFA Box Fight Ever⭐️ Instant Respawn System🛠 Best Training🧠 Optimized for Speed via UEFN💾 Ranks and Eliminations Save🆕 Frequent Updates with all the new content,Teen / 12,"boxfight, free for all, practice, competitive, "
141,Free For All,Tropical Island Tycoon [CO-OP],Survive on Island with your friend 👥👥2 Player CO-OP Tycoon🛠 Build new farms💰 Exchange farm products for gold and diamonds🏝 Beautify the island with decorations🚀 Reach the end to get rebirth,Teen / 12,"co-op, tycoon, simulator, casual, "
142,Free For All,💯 RED VS BLUE 🥶 RUMBLE,🆕 New All Ch5 Weapons Added🔵 ENDLESS TEAM DEATHMATCH COMBAT🔴 POWERUPS AND SECRETS 👀🏆 Rank up from BRONZE to UNREAL📀 50 Gold Coins per Elimination🚽 1st Person Mode🔒 OP Vault💾 Eliminations and Ranks Save,Teen / 12,"team deathmatch, "
